sample_id,split,category,label,original_video_path,processed_file_path,total_frames,valid_frames,feature_dimension,valid,failure_reason
78._long_MVI_5187_0050,train,Adjectives,78. long,Adjectives/78. long/MVI_5187.MOV,data/landmarks/include50/78._long_MVI_5187_0050.npz,60,60,258,True,
97._dry_MVI_5250_0051,train,Adjectives,97. dry,Adjectives/97. dry/MVI_5250.MOV,data/landmarks/include50/97._dry_MVI_5250_0051.npz,67,67,258,True,
87._hot_MVI_5217_0052,train,Adjectives,87. hot,Adjectives/87. hot/MVI_5217.MOV,data/landmarks/include50/87._hot_MVI_5217_0052.npz,66,66,258,True,
3._happy_MVI_9455_0053,train,Adjectives,3. happy,Adjectives/3. happy/MVI_9455.MOV,data/landmarks/include50/3._happy_MVI_9455_0053.npz,51,51,258,True,
91._new_MVI_9500_0054,train,Adjectives,91. new,Adjectives/91. new/MVI_9500.MOV,data/landmarks/include50/91._new_MVI_9500_0054.npz,56,56,258,True,
78._long_MVI_9460_0055,train,Adjectives,78. long,Adjectives/78. long/MVI_9460.MOV,data/landmarks/include50/78._long_MVI_9460_0055.npz,52,52,258,True,
91._new_MVI_5231_0056,train,Adjectives,91. new,Adjectives/91. new/MVI_5231.MOV,data/landmarks/include50/91._new_MVI_5231_0056.npz,62,62,258,True,
83._big_large_MVI_9316_0057,train,Adjectives,83. big large,Adjectives/83. big large/MVI_9316.MOV,data/landmarks/include50/83._big_large_MVI_9316_0057.npz,44,44,258,True,
84._small_little_MVI_5286_0058,train,Adjectives,84. small little,Adjectives/84. small little/MVI_5286.MOV,data/landmarks/include50/84._small_little_MVI_5286_0058.npz,52,52,258,True,
79._short_MVI_9221_0059,train,Adjectives,79. short,Adjectives/79. short/MVI_9221.MOV,data/landmarks/include50/79._short_MVI_9221_0059.npz,44,44,258,True,
78._long_MVI_9298_0060,train,Adjectives,78. long,Adjectives/78. long/MVI_9298.MOV,data/landmarks/include50/78._long_MVI_9298_0060.npz,53,53,258,True,
2._quiet_MVI_5182_0061,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_5182.MOV,data/landmarks/include50/2._quiet_MVI_5182_0061.npz,76,76,258,True,
97._dry_MVI_5169_0062,train,Adjectives,97. dry,Adjectives/97. dry/MVI_5169.MOV,data/landmarks/include50/97._dry_MVI_5169_0062.npz,82,82,258,True,
3._happy_MVI_9542_0063,train,Adjectives,3. happy,Adjectives/3. happy/MVI_9542.MOV,data/landmarks/include50/3._happy_MVI_9542_0063.npz,58,58,258,True,
94._good_MVI_9512_0064,train,Adjectives,94. good,Adjectives/94. good/MVI_9512.MOV,data/landmarks/include50/94._good_MVI_9512_0064.npz,50,50,258,True,
94._good_MVI_9511_0065,train,Adjectives,94. good,Adjectives/94. good/MVI_9511.MOV,data/landmarks/include50/94._good_MVI_9511_0065.npz,56,56,258,True,
3._happy_MVI_9375_0066,train,Adjectives,3. happy,Adjectives/3. happy/MVI_9375.MOV,data/landmarks/include50/3._happy_MVI_9375_0066.npz,41,41,258,True,
87._hot_MVI_5295_0067,train,Adjectives,87. hot,Adjectives/87. hot/MVI_5295.MOV,data/landmarks/include50/87._hot_MVI_5295_0067.npz,56,56,258,True,
91._new_MVI_5229_0068,train,Adjectives,91. new,Adjectives/91. new/MVI_5229.MOV,data/landmarks/include50/91._new_MVI_5229_0068.npz,54,54,258,True,
1._loud_MVI_9370_0069,train,Adjectives,1. loud,Adjectives/1. loud/MVI_9370.MOV,data/landmarks/include50/1._loud_MVI_9370_0069.npz,46,46,258,True,
79._short_MVI_5110_0070,train,Adjectives,79. short,Adjectives/79. short/MVI_5110.MOV,data/landmarks/include50/79._short_MVI_5110_0070.npz,62,62,258,True,
79._short_MVI_5110_0071,train,Adjectives,79. short,Adjectives/79. short/MVI_5110.MOV,data/landmarks/include50/79._short_MVI_5110_0071.npz,62,62,258,True,
97._dry_MVI_9439_0072,train,Adjectives,97. dry,Adjectives/97. dry/MVI_9439.MOV,data/landmarks/include50/97._dry_MVI_9439_0072.npz,63,63,258,True,
91._new_MVI_9260_0073,train,Adjectives,91. new,Adjectives/91. new/MVI_9260.MOV,data/landmarks/include50/91._new_MVI_9260_0073.npz,49,49,258,True,
79._short_MVI_9381_0074,train,Adjectives,79. short,Adjectives/79. short/MVI_9381.MOV,data/landmarks/include50/79._short_MVI_9381_0074.npz,47,47,258,True,
94._good_MVI_5238_0075,train,Adjectives,94. good,Adjectives/94. good/MVI_5238.MOV,data/landmarks/include50/94._good_MVI_5238_0075.npz,49,49,258,True,
97._dry_MVI_5326_0076,train,Adjectives,97. dry,Adjectives/97. dry/MVI_5326.MOV,data/landmarks/include50/97._dry_MVI_5326_0076.npz,60,60,258,True,
83._big_large_MVI_5124_0077,train,Adjectives,83. big large,Adjectives/83. big large/MVI_5124.MOV,data/landmarks/include50/83._big_large_MVI_5124_0077.npz,61,61,258,True,
1._loud_MVI_5335_0078,train,Adjectives,1. loud,Adjectives/1. loud/MVI_5335.MOV,data/landmarks/include50/1._loud_MVI_5335_0078.npz,45,45,258,True,
87._hot_MVI_5296_0079,train,Adjectives,87. hot,Adjectives/87. hot/MVI_5296.MOV,data/landmarks/include50/87._hot_MVI_5296_0079.npz,56,56,258,True,
91._new_MVI_9422_0080,train,Adjectives,91. new,Adjectives/91. new/MVI_9422.MOV,data/landmarks/include50/91._new_MVI_9422_0080.npz,47,47,258,True,
91._new_MVI_9341_0081,train,Adjectives,91. new,Adjectives/91. new/MVI_9341.MOV,data/landmarks/include50/91._new_MVI_9341_0081.npz,49,49,258,True,
94._good_MVI_9269_0082,train,Adjectives,94. good,Adjectives/94. good/MVI_9269.MOV,data/landmarks/include50/94._good_MVI_9269_0082.npz,48,48,258,True,
84._small_little_MVI_5128_0083,train,Adjectives,84. small little,Adjectives/84. small little/MVI_5128.MOV,data/landmarks/include50/84._small_little_MVI_5128_0083.npz,62,62,258,True,
84._small_little_MVI_5126_0084,train,Adjectives,84. small little,Adjectives/84. small little/MVI_5126.MOV,data/landmarks/include50/84._small_little_MVI_5126_0084.npz,83,83,258,True,
91._new_MVI_9342_0085,train,Adjectives,91. new,Adjectives/91. new/MVI_9342.MOV,data/landmarks/include50/91._new_MVI_9342_0085.npz,47,47,258,True,
91._new_MVI_9259_0086,train,Adjectives,91. new,Adjectives/91. new/MVI_9259.MOV,data/landmarks/include50/91._new_MVI_9259_0086.npz,46,46,258,True,
79._short_MVI_9463_0087,train,Adjectives,79. short,Adjectives/79. short/MVI_9463.MOV,data/landmarks/include50/79._short_MVI_9463_0087.npz,56,56,258,True,
1._loud_MVI_9450_0088,train,Adjectives,1. loud,Adjectives/1. loud/MVI_9450.MOV,data/landmarks/include50/1._loud_MVI_9450_0088.npz,50,50,258,True,
83._big_large_MVI_9233_0089,train,Adjectives,83. big large,Adjectives/83. big large/MVI_9233.MOV,data/landmarks/include50/83._big_large_MVI_9233_0089.npz,48,48,258,True,
2._quiet_MVI_5260_0090,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_5260.MOV,data/landmarks/include50/2._quiet_MVI_5260_0090.npz,69,69,258,True,
97._dry_MVI_9277_0091,train,Adjectives,97. dry,Adjectives/97. dry/MVI_9277.MOV,data/landmarks/include50/97._dry_MVI_9277_0091.npz,57,57,258,True,
91._new_MVI_5308_0092,train,Adjectives,91. new,Adjectives/91. new/MVI_5308.MOV,data/landmarks/include50/91._new_MVI_5308_0092.npz,42,42,258,True,
97._dry_MVI_9278_0093,train,Adjectives,97. dry,Adjectives/97. dry/MVI_9278.MOV,data/landmarks/include50/97._dry_MVI_9278_0093.npz,62,62,258,True,
2._quiet_MVI_9451_0094,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9451.MOV,data/landmarks/include50/2._quiet_MVI_9451_0094.npz,57,57,258,True,
1._loud_MVI_9449_0095,train,Adjectives,1. loud,Adjectives/1. loud/MVI_9449.MOV,data/landmarks/include50/1._loud_MVI_9449_0095.npz,47,47,258,True,
97._dry_MVI_9441_0096,train,Adjectives,97. dry,Adjectives/97. dry/MVI_9441.MOV,data/landmarks/include50/97._dry_MVI_9441_0096.npz,57,57,258,True,
94._good_MVI_5318_0097,train,Adjectives,94. good,Adjectives/94. good/MVI_5318.MOV,data/landmarks/include50/94._good_MVI_5318_0097.npz,44,44,258,True,
97._dry_MVI_5327_0098,train,Adjectives,97. dry,Adjectives/97. dry/MVI_5327.MOV,data/landmarks/include50/97._dry_MVI_5327_0098.npz,58,58,258,True,
1._loud_MVI_9291_0099,train,Adjectives,1. loud,Adjectives/1. loud/MVI_9291.MOV,data/landmarks/include50/1._loud_MVI_9291_0099.npz,63,63,258,True,
3._happy_MVI_5184_0100,train,Adjectives,3. happy,Adjectives/3. happy/MVI_5184.MOV,data/landmarks/include50/3._happy_MVI_5184_0100.npz,69,69,258,True,
1._loud_MVI_5337_0101,train,Adjectives,1. loud,Adjectives/1. loud/MVI_5337.MOV,data/landmarks/include50/1._loud_MVI_5337_0101.npz,48,48,258,True,
83._big_large_MVI_5205_0102,train,Adjectives,83. big large,Adjectives/83. big large/MVI_5205.MOV,data/landmarks/include50/83._big_large_MVI_5205_0102.npz,66,66,258,True,
79._short_MVI_5269_0103,train,Adjectives,79. short,Adjectives/79. short/MVI_5269.MOV,data/landmarks/include50/79._short_MVI_5269_0103.npz,51,51,258,True,
91._new_MVI_5148_0104,train,Adjectives,91. new,Adjectives/91. new/MVI_5148.MOV,data/landmarks/include50/91._new_MVI_5148_0104.npz,57,57,258,True,
97._dry_MVI_9440_0105,train,Adjectives,97. dry,Adjectives/97. dry/MVI_9440.MOV,data/landmarks/include50/97._dry_MVI_9440_0105.npz,58,58,258,True,
1._loud_MVI_5257_0106,train,Adjectives,1. loud,Adjectives/1. loud/MVI_5257.MOV,data/landmarks/include50/1._loud_MVI_5257_0106.npz,52,52,258,True,
1._loud_MVI_9535_0107,train,Adjectives,1. loud,Adjectives/1. loud/MVI_9535.MOV,data/landmarks/include50/1._loud_MVI_9535_0107.npz,65,65,258,True,
1._loud_MVI_5179_0108,train,Adjectives,1. loud,Adjectives/1. loud/MVI_5179.MOV,data/landmarks/include50/1._loud_MVI_5179_0108.npz,66,66,258,True,
87._hot_MVI_9249_0109,train,Adjectives,87. hot,Adjectives/87. hot/MVI_9249.MOV,data/landmarks/include50/87._hot_MVI_9249_0109.npz,48,48,258,True,
97._dry_MVI_5249_0110,train,Adjectives,97. dry,Adjectives/97. dry/MVI_5249.MOV,data/landmarks/include50/97._dry_MVI_5249_0110.npz,67,67,258,True,
87._hot_MVI_5137_0111,train,Adjectives,87. hot,Adjectives/87. hot/MVI_5137.MOV,data/landmarks/include50/87._hot_MVI_5137_0111.npz,56,56,258,True,
3._happy_MVI_5342_0112,train,Adjectives,3. happy,Adjectives/3. happy/MVI_5342.MOV,data/landmarks/include50/3._happy_MVI_5342_0112.npz,53,53,258,True,
79._short_MVI_9301_0113,train,Adjectives,79. short,Adjectives/79. short/MVI_9301.MOV,data/landmarks/include50/79._short_MVI_9301_0113.npz,49,49,258,True,
97._dry_MVI_9360_0114,train,Adjectives,97. dry,Adjectives/97. dry/MVI_9360.MOV,data/landmarks/include50/97._dry_MVI_9360_0114.npz,53,53,258,True,
2._quiet_MVI_5261_0115,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_5261.MOV,data/landmarks/include50/2._quiet_MVI_5261_0115.npz,63,63,258,True,
94._good_MVI_5316_0116,train,Adjectives,94. good,Adjectives/94. good/MVI_5316.MOV,data/landmarks/include50/94._good_MVI_5316_0116.npz,46,46,258,True,
94._good_MVI_9270_0117,train,Adjectives,94. good,Adjectives/94. good/MVI_9270.MOV,data/landmarks/include50/94._good_MVI_9270_0117.npz,46,46,258,True,
3._happy_MVI_9454_0118,train,Adjectives,3. happy,Adjectives/3. happy/MVI_9454.MOV,data/landmarks/include50/3._happy_MVI_9454_0118.npz,44,44,258,True,
3._happy_MVI_9295_0119,train,Adjectives,3. happy,Adjectives/3. happy/MVI_9295.MOV,data/landmarks/include50/3._happy_MVI_9295_0119.npz,48,48,258,True,
94._good_MVI_9510_0120,train,Adjectives,94. good,Adjectives/94. good/MVI_9510.MOV,data/landmarks/include50/94._good_MVI_9510_0120.npz,62,62,258,True,
83._big_large_MVI_5285_0121,train,Adjectives,83. big large,Adjectives/83. big large/MVI_5285.MOV,data/landmarks/include50/83._big_large_MVI_5285_0121.npz,51,51,258,True,
78._long_MVI_9378_0122,train,Adjectives,78. long,Adjectives/78. long/MVI_9378.MOV,data/landmarks/include50/78._long_MVI_9378_0122.npz,52,52,258,True,
87._hot_MVI_9488_0123,train,Adjectives,87. hot,Adjectives/87. hot/MVI_9488.MOV,data/landmarks/include50/87._hot_MVI_9488_0123.npz,65,65,258,True,
84._small_little_MVI_9398_0124,train,Adjectives,84. small little,Adjectives/84. small little/MVI_9398.MOV,data/landmarks/include50/84._small_little_MVI_9398_0124.npz,50,50,258,True,
87._hot_MVI_5218_0125,train,Adjectives,87. hot,Adjectives/87. hot/MVI_5218.MOV,data/landmarks/include50/87._hot_MVI_5218_0125.npz,66,66,258,True,
2._quiet_MVI_9294_0126,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9294.MOV,data/landmarks/include50/2._quiet_MVI_9294_0126.npz,56,56,258,True,
3._happy_MVI_9541_0127,train,Adjectives,3. happy,Adjectives/3. happy/MVI_9541.MOV,data/landmarks/include50/3._happy_MVI_9541_0127.npz,57,57,258,True,
97._dry_MVI_9359_0128,train,Adjectives,97. dry,Adjectives/97. dry/MVI_9359.MOV,data/landmarks/include50/97._dry_MVI_9359_0128.npz,55,55,258,True,
87._hot_MVI_5138_0129,train,Adjectives,87. hot,Adjectives/87. hot/MVI_5138.MOV,data/landmarks/include50/87._hot_MVI_5138_0129.npz,49,49,258,True,
79._short_MVI_5189_0130,train,Adjectives,79. short,Adjectives/79. short/MVI_5189.MOV,data/landmarks/include50/79._short_MVI_5189_0130.npz,57,57,258,True,
78._long_MVI_9217_0131,train,Adjectives,78. long,Adjectives/78. long/MVI_9217.MOV,data/landmarks/include50/78._long_MVI_9217_0131.npz,52,52,258,True,
84._small_little_MVI_9319_0132,train,Adjectives,84. small little,Adjectives/84. small little/MVI_9319.MOV,data/landmarks/include50/84._small_little_MVI_9319_0132.npz,51,51,258,True,
3._happy_MVI_5341_0133,train,Adjectives,3. happy,Adjectives/3. happy/MVI_5341.MOV,data/landmarks/include50/3._happy_MVI_5341_0133.npz,41,41,258,True,
78._long_MVI_9218_0134,train,Adjectives,78. long,Adjectives/78. long/MVI_9218.MOV,data/landmarks/include50/78._long_MVI_9218_0134.npz,53,53,258,True,
87._hot_MVI_9330_0135,train,Adjectives,87. hot,Adjectives/87. hot/MVI_9330.MOV,data/landmarks/include50/87._hot_MVI_9330_0135.npz,50,50,258,True,
87._hot_MVI_5297_0136,train,Adjectives,87. hot,Adjectives/87. hot/MVI_5297.MOV,data/landmarks/include50/87._hot_MVI_5297_0136.npz,55,55,258,True,
94._good_MVI_5317_0137,train,Adjectives,94. good,Adjectives/94. good/MVI_5317.MOV,data/landmarks/include50/94._good_MVI_5317_0137.npz,49,49,258,True,
3._happy_MVI_5265_0138,train,Adjectives,3. happy,Adjectives/3. happy/MVI_5265.MOV,data/landmarks/include50/3._happy_MVI_5265_0138.npz,48,48,258,True,
91._new_MVI_5151_0139,train,Adjectives,91. new,Adjectives/91. new/MVI_5151.MOV,data/landmarks/include50/91._new_MVI_5151_0139.npz,59,59,258,True,
2._quiet_MVI_5262_0140,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_5262.MOV,data/landmarks/include50/2._quiet_MVI_5262_0140.npz,66,66,258,True,
84._small_little_MVI_9479_0141,train,Adjectives,84. small little,Adjectives/84. small little/MVI_9479.MOV,data/landmarks/include50/84._small_little_MVI_9479_0141.npz,52,52,258,True,
84._small_little_MVI_9321_0142,train,Adjectives,84. small little,Adjectives/84. small little/MVI_9321.MOV,data/landmarks/include50/84._small_little_MVI_9321_0142.npz,54,54,258,True,
87._hot_MVI_9247_0143,train,Adjectives,87. hot,Adjectives/87. hot/MVI_9247.MOV,data/landmarks/include50/87._hot_MVI_9247_0143.npz,55,55,258,True,
97._dry_MVI_9522_0144,train,Adjectives,97. dry,Adjectives/97. dry/MVI_9522.MOV,data/landmarks/include50/97._dry_MVI_9522_0144.npz,64,64,258,True,
84._small_little_MVI_9478_0145,train,Adjectives,84. small little,Adjectives/84. small little/MVI_9478.MOV,data/landmarks/include50/84._small_little_MVI_9478_0145.npz,54,54,258,True,
94._good_MVI_5160_0146,train,Adjectives,94. good,Adjectives/94. good/MVI_5160.MOV,data/landmarks/include50/94._good_MVI_5160_0146.npz,62,62,258,True,
78._long_MVI_9459_0147,train,Adjectives,78. long,Adjectives/78. long/MVI_9459.MOV,data/landmarks/include50/78._long_MVI_9459_0147.npz,51,51,258,True,
79._short_MVI_9461_0148,train,Adjectives,79. short,Adjectives/79. short/MVI_9461.MOV,data/landmarks/include50/79._short_MVI_9461_0148.npz,57,57,258,True,
94._good_MVI_9351_0149,train,Adjectives,94. good,Adjectives/94. good/MVI_9351.MOV,data/landmarks/include50/94._good_MVI_9351_0149.npz,50,50,258,True,
78._long_MVI_5107_0150,train,Adjectives,78. long,Adjectives/78. long/MVI_5107.MOV,data/landmarks/include50/78._long_MVI_5107_0150.npz,71,71,258,True,
94._good_MVI_9268_0151,train,Adjectives,94. good,Adjectives/94. good/MVI_9268.MOV,data/landmarks/include50/94._good_MVI_9268_0151.npz,46,46,258,True,
3._happy_MVI_9374_0152,train,Adjectives,3. happy,Adjectives/3. happy/MVI_9374.MOV,data/landmarks/include50/3._happy_MVI_9374_0152.npz,45,45,258,True,
84._small_little_MVI_9400_0153,train,Adjectives,84. small little,Adjectives/84. small little/MVI_9400.MOV,data/landmarks/include50/84._small_little_MVI_9400_0153.npz,53,53,258,True,
2._quiet_MVI_9373_0154,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9373.MOV,data/landmarks/include50/2._quiet_MVI_9373_0154.npz,47,47,258,True,
79._short_MVI_5111_0155,train,Adjectives,79. short,Adjectives/79. short/MVI_5111.MOV,data/landmarks/include50/79._short_MVI_5111_0155.npz,68,68,258,True,
84._small_little_MVI_9238_0156,train,Adjectives,84. small little,Adjectives/84. small little/MVI_9238.MOV,data/landmarks/include50/84._small_little_MVI_9238_0156.npz,51,51,258,True,
2._quiet_MVI_9292_0157,train,Adjectives,2. quiet,Adjectives/2. quiet/MVI_9292.MOV,data/landmarks/include50/2._quiet_MVI_9292_0157.npz,53,53,258,True,
78._long_MVI_9458_0158,train,Adjectives,78. long,Adjectives/78. long/MVI_9458.MOV,data/landmarks/include50/78._long_MVI_9458_0158.npz,56,56,258,True,
91._new_MVI_5307_0159,train,Adjectives,91. new,Adjectives/91. new/MVI_5307.MOV,data/landmarks/include50/91._new_MVI_5307_0159.npz,39,39,258,True,
84._small_little_MVI_5307_0160,train,Adjectives,84. small little,Adjectives/91. new/MVI_5307.MOV,data/landmarks/include50/84._small_little_MVI_5307_0160.npz,39,39,258,True,
